val_loss,val_macro-f1,val_micro-f1,epoch,step,train_loss,train_macro-f1,train_micro-f1
0.13201464712619781,8.614653052063659e-05,0.0009471654193475842,0,5490,,,
,,,0,5490,0.1450505405664444,5.674254134646617e-05,0.0003117255982942879
0.11454031616449356,0.00018185933004133403,0.004109184257686138,1,10981,,,
,,,1,10981,0.12330722063779831,0.00014458020450547338,0.0027233585715293884
0.09831436723470688,0.0025234529748559,0.1031847819685936,2,16472,,,
,,,2,16472,0.10619314014911652,0.0013877260498702526,0.056281160563230515
0.08567686378955841,0.007174001075327396,0.3034036457538605,3,21963,,,
,,,3,21963,0.09201043844223022,0.00525351008400321,0.22494874894618988
0.07657422125339508,0.009742582216858864,0.3979213833808899,4,27454,,,
,,,4,27454,0.08119575679302216,0.00861823558807373,0.3631563186645508
0.0705927386879921,0.010420518927276134,0.4110552966594696,5,32945,,,
,,,5,32945,0.07349977642297745,0.010381459258496761,0.41874802112579346
0.06597128510475159,0.012900193221867085,0.4710193872451782,6,38436,,,
,,,6,38436,0.06818441301584244,0.012096095830202103,0.46008652448654175
0.0625586062669754,0.015102313831448555,0.5292035937309265,7,43927,,,
,,,7,43927,0.06426650285720825,0.014053781516849995,0.5107288956642151
0.06019390746951103,0.015509775839745998,0.5441778302192688,8,49418,,,
,,,8,49418,0.06130857393145561,0.0157198254019022,0.5537458062171936
0.05833576247096062,0.017101654782891273,0.5822465419769287,9,54909,,,
,,,9,54909,0.0591510534286499,0.017012305557727814,0.5844259262084961
0.05727744102478027,0.0175031591206789,0.5861594676971436,10,60400,,,
,,,10,60400,0.05767640843987465,0.01823841780424118,0.604225218296051
0.05632999166846275,0.018666798248887062,0.6065599322319031,11,65891,,,
,,,11,65891,0.056647635996341705,0.018952181562781334,0.6153126358985901
0.055766306817531586,0.019328443333506584,0.6120436191558838,12,71382,,,
,,,12,71382,0.05588073283433914,0.019514361396431923,0.6231848001480103
0.0552416667342186,0.01993449218571186,0.6216427087783813,13,76873,,,
,,,13,76873,0.05526870861649513,0.02003907971084118,0.6297467350959778
0.05480324476957321,0.020563850179314613,0.6285719275474548,14,82364,,,
,,,14,82364,0.0547306053340435,0.02061115950345993,0.6365310549736023
0.054434794932603836,0.020258810371160507,0.6207011938095093,15,87855,,,
,,,15,87855,0.0542239211499691,0.021136071532964706,0.6426088809967041
0.05389972776174545,0.0216303039342165,0.6378993988037109,16,93346,,,
,,,16,93346,0.053749073296785355,0.02164231613278389,0.6478331089019775
0.053566478192806244,0.02174946293234825,0.6448217630386353,17,98837,,,
,,,17,98837,0.053332146257162094,0.022021230310201645,0.6512377262115479
0.053485821932554245,0.021218616515398026,0.6307693719863892,18,104328,,,
,,,18,104328,0.05294538661837578,0.02234792150557041,0.6541802883148193
0.05292423442006111,0.023068802431225777,0.6549568176269531,19,109819,,,
,,,19,109819,0.05263533815741539,0.02262847125530243,0.6562772989273071
0.0527363196015358,0.022557303309440613,0.6462193727493286,20,115310,,,
,,,20,115310,0.05230621248483658,0.02295440435409546,0.6589140295982361
0.05237753689289093,0.02336990088224411,0.6532126069068909,21,120801,,,
,,,21,120801,0.051993947476148605,0.02326635643839836,0.661160409450531
0.0521533377468586,0.02353157289326191,0.6527970433235168,22,126292,,,
,,,22,126292,0.05168222635984421,0.023568591102957726,0.6633053421974182
0.05190439894795418,0.02390456199645996,0.6540500521659851,23,131783,,,
,,,23,131783,0.05139467120170593,0.023838361725211143,0.6652300357818604
0.051632337272167206,0.024083193391561508,0.6568500399589539,24,137274,,,
,,,24,137274,0.05107992887496948,0.024135686457157135,0.6673705577850342
0.05141250044107437,0.024251554161310196,0.6587063670158386,25,142765,,,
,,,25,142765,0.050781384110450745,0.024420760571956635,0.6693884134292603
0.05114611238241196,0.024495990946888924,0.662270188331604,26,148256,,,
,,,26,148256,0.0504729337990284,0.02473759464919567,0.6714447140693665
0.05096164718270302,0.02456270344555378,0.6591384410858154,27,153747,,,
,,,27,153747,0.05018843710422516,0.025047846138477325,0.6735906600952148
0.050748202949762344,0.02517516538500786,0.6633532047271729,28,159238,,,
,,,28,159238,0.049901850521564484,0.025390060618519783,0.6761199235916138
0.050539545714855194,0.025246955454349518,0.6618784070014954,29,164729,,,
,,,29,164729,0.049608264118433,0.025790143758058548,0.6792091727256775
0.050179239362478256,0.025299400091171265,0.6688435673713684,30,170220,,,
,,,30,170220,0.04932215064764023,0.026102209463715553,0.6817479729652405
0.04996997117996216,0.025689806789159775,0.6702709794044495,31,175711,,,
,,,31,175711,0.049043018370866776,0.02640109322965145,0.6833101511001587
0.049757957458496094,0.025979574769735336,0.6692830920219421,32,181202,,,
,,,32,181202,0.04877505823969841,0.02670876309275627,0.684507429599762
0.049464501440525055,0.026528682559728622,0.6731808185577393,33,186693,,,
,,,33,186693,0.048514608293771744,0.02707834541797638,0.6863346099853516
0.04930613562464714,0.026954982429742813,0.6745020747184753,34,192184,,,
,,,34,192184,0.04823467135429382,0.027387285605072975,0.6876013278961182
0.04898033291101456,0.027267809957265854,0.678450345993042,35,197675,,,
,,,35,197675,0.047968972474336624,0.027693379670381546,0.6886290907859802
0.04868230223655701,0.027820931747555733,0.6825286746025085,36,203166,,,
,,,36,203166,0.047709010541439056,0.02806345373392105,0.6904840469360352
0.048525385558605194,0.028616994619369507,0.6823402047157288,37,208657,,,
,,,37,208657,0.047434933483600616,0.02853533811867237,0.6929864287376404
0.04835452139377594,0.028900915756821632,0.6857326030731201,38,214148,,,
,,,38,214148,0.04716772586107254,0.028856268152594566,0.6947838068008423
